"subjectID","wave","task","run","volume","trash"
"TAG002",1,"DSD",2,164,1
"TAG002",1,"DSD",2,165,1
"TAG002",1,"DSD",2,166,1
"TAG002",1,"DSD",2,167,1
"TAG002",1,"DSD",2,173,1
"TAG002",1,"DSD",2,174,1
"TAG002",1,"DSD",2,175,1
"TAG002",1,"DSD",2,176,1
"TAG002",1,"DSD",2,178,1
"TAG002",1,"DSD",2,179,1
"TAG002",1,"DSD",2,188,1
"TAG002",1,"DSD",2,189,1
"TAG002",1,"DSD",2,192,1
"TAG002",1,"DSD",2,193,1
"TAG002",1,"DSD",2,194,1
"TAG002",1,"DSD",2,196,1
"TAG002",1,"DSD",2,197,1
"TAG002",1,"DSD",2,198,1
"TAG002",1,"DSD",2,199,1
"TAG002",1,"DSD",2,200,1
"TAG002",1,"DSD",2,201,1
"TAG002",1,"DSD",2,202,1
"TAG002",1,"DSD",2,203,1
"TAG002",1,"DSD",2,204,1
"TAG002",1,"DSD",2,207,1
"TAG002",1,"DSD",2,208,1
"TAG002",1,"DSD",2,219,1
"TAG002",1,"DSD",2,222,1
"TAG002",1,"DSD",2,223,1
"TAG002",1,"DSD",2,224,1
"TAG002",1,"DSD",2,225,1
"TAG002",1,"rest",2,203,1
"TAG002",1,"rest",2,251,1
"TAG002",1,"SVC",2,70,1
"TAG002",1,"SVC",2,71,1
"TAG002",1,"SVC",2,83,1
"TAG002",1,"SVC",2,155,1
"TAG002",1,"SVC",2,156,1
"TAG002",1,"SVC",2,165,1
"TAG002",1,"SVC",2,166,1
"TAG002",1,"SVC",2,167,1
"TAG002",1,"SVC",2,172,1
"TAG004",1,"DSD",1,23,1
"TAG004",1,"DSD",1,24,1
"TAG004",1,"DSD",1,28,1
"TAG004",1,"DSD",1,43,1
"TAG004",1,"DSD",1,44,1
"TAG004",1,"DSD",1,51,1
"TAG004",1,"DSD",1,58,1
"TAG004",1,"DSD",1,59,1
"TAG004",1,"DSD",1,60,1
"TAG004",1,"DSD",1,74,1
"TAG004",1,"DSD",1,75,1
"TAG004",1,"DSD",1,112,1
"TAG004",1,"DSD",1,113,1
"TAG004",1,"DSD",1,135,1
"TAG004",1,"DSD",1,136,1
"TAG004",1,"DSD",1,140,1
"TAG004",1,"DSD",1,141,1
"TAG004",1,"DSD",1,148,1
"TAG004",1,"DSD",1,152,1
"TAG004",1,"DSD",1,153,1
"TAG004",1,"DSD",1,154,1
"TAG004",1,"DSD",1,159,1
"TAG004",1,"DSD",1,160,1
"TAG004",1,"DSD",1,161,1
"TAG004",1,"DSD",1,165,1
"TAG004",1,"DSD",1,166,1
"TAG004",1,"DSD",1,173,1
"TAG004",1,"DSD",1,198,1
"TAG004",1,"DSD",1,199,1
"TAG004",1,"DSD",1,200,1
"TAG004",1,"DSD",2,2,1
"TAG004",1,"DSD",2,3,1
"TAG004",1,"DSD",2,5,1
"TAG004",1,"DSD",2,6,1
"TAG004",1,"DSD",2,25,1
"TAG004",1,"DSD",2,26,1
"TAG004",1,"DSD",2,27,1
"TAG004",1,"DSD",2,30,1
"TAG004",1,"DSD",2,42,1
"TAG004",1,"DSD",2,53,1
"TAG004",1,"DSD",2,54,1
"TAG004",1,"DSD",2,71,1
"TAG004",1,"DSD",2,72,1
"TAG004",1,"DSD",2,73,1
"TAG004",1,"DSD",2,74,1
"TAG004",1,"DSD",2,75,1
"TAG004",1,"DSD",2,76,1
"TAG004",1,"DSD",2,78,1
"TAG004",1,"DSD",2,83,1
"TAG004",1,"DSD",2,84,1
"TAG004",1,"DSD",2,89,1
"TAG004",1,"DSD",2,90,1
"TAG004",1,"DSD",2,91,1
"TAG004",1,"DSD",2,92,1
"TAG004",1,"DSD",2,94,1
"TAG004",1,"DSD",2,95,1
"TAG004",1,"DSD",2,98,1
"TAG004",1,"DSD",2,99,1
"TAG004",1,"DSD",2,100,1
"TAG004",1,"DSD",2,101,1
"TAG004",1,"DSD",2,103,1
"TAG004",1,"DSD",2,104,1
"TAG004",1,"DSD",2,105,1
"TAG004",1,"DSD",2,110,1
"TAG004",1,"DSD",2,111,1
"TAG004",1,"DSD",2,118,1
"TAG004",1,"DSD",2,119,1
"TAG004",1,"DSD",2,120,1
"TAG004",1,"DSD",2,121,1
"TAG004",1,"DSD",2,137,1
"TAG004",1,"DSD",2,138,1
