"subjectID","wave","task","run","nVols","percent"
"TAG044",1,"DSD",2,64,37
"TAG044",1,"rest",1,9,3.3
"TAG044",1,"rest",2,7,2.6
"TAG044",1,"SVC",1,28,15.6
"TAG044",1,"SVC",2,28,16.1
"TAG045",1,"DSD",1,3,1.3
"TAG045",1,"DSD",2,26,29.5
"TAG045",1,"rest",1,0,0
"TAG045",1,"rest",2,1,0.4
"TAG045",1,"SVC",1,6,3.3
"TAG045",1,"SVC",2,18,10
"TAG046",1,"DSD",1,42,18.7
"TAG046",1,"DSD",2,25,11.1
"TAG046",1,"rest",1,0,0
"TAG046",1,"rest",2,0,0
"TAG046",1,"SVC",1,15,8.3
"TAG046",1,"SVC",2,4,2.2
"TAG047",1,"DSD",1,41,18.2
"TAG047",1,"DSD",2,54,54
"TAG047",1,"rest",1,0,0
"TAG047",1,"rest",2,9,3.3
"TAG047",1,"SVC",1,17,9.4
"TAG047",1,"SVC",2,27,15
"TAG048",1,"DSD",1,16,7.1
"TAG048",1,"DSD",2,16,7.1
"TAG048",1,"rest",1,0,0
"TAG048",1,"rest",2,0,0
"TAG048",1,"SVC",1,4,2.2
"TAG048",1,"SVC",2,3,1.7
"TAG049",1,"DSD",1,8,3.6
"TAG049",1,"DSD",2,34,15.1
"TAG049",1,"rest",1,4,1.5
"TAG049",1,"rest",2,0,0
"TAG049",1,"SVC",1,21,11.7
"TAG049",1,"SVC",2,21,28.8
"TAG050",1,"DSD",1,0,0
"TAG050",1,"DSD",2,0,0
"TAG050",1,"rest",1,0,0
"TAG050",1,"rest",2,0,0
"TAG050",1,"SVC",1,0,0
"TAG050",1,"SVC",2,0,0
"TAG051",1,"DSD",1,3,1.3
"TAG051",1,"DSD",2,7,3.1
"TAG051",1,"rest",1,0,0
"TAG051",1,"rest",2,0,0
"TAG051",1,"SVC",1,0,0
"TAG051",1,"SVC",2,1,0.6
"TAG052",1,"DSD",1,27,12
"TAG052",1,"DSD",2,23,10.2
"TAG052",1,"rest",1,0,0
"TAG052",1,"rest",2,0,0
"TAG052",1,"SVC",1,17,9.4
"TAG052",1,"SVC",2,10,5.6
"TAG053",1,"DSD",1,1,0.4
"TAG053",1,"DSD",2,4,1.8
"TAG053",1,"rest",1,2,0.7
"TAG053",1,"rest",2,0,0
"TAG053",1,"SVC",1,9,5
"TAG053",1,"SVC",2,2,1.1
"TAG054",1,"DSD",1,7,3.1
"TAG054",1,"DSD",2,8,3.6
"TAG054",1,"rest",1,0,0
"TAG054",1,"rest",2,0,0
"TAG054",1,"SVC",1,1,0.6
"TAG054",1,"SVC",2,5,2.8
"TAG055",1,"DSD",1,0,0
"TAG055",1,"DSD",2,1,0.4
"TAG055",1,"rest",1,0,0
"TAG055",1,"rest",2,0,0
"TAG055",1,"SVC",1,0,0
