"subjectID","wave","task","nVols","percent"
"TAG095",1,"rest",0,0
"TAG095",1,"SVC",2,0.6
"TAG099",1,"DSD",33,7.3
"TAG099",1,"rest",24,4.4
"TAG099",1,"SVC",92,25.6
"TAG100",1,"DSD",42,9.3
"TAG100",1,"rest",0,0
"TAG100",1,"SVC",4,1.1
"TAG101",1,"DSD",2,0.4
"TAG101",1,"rest",0,0
"TAG101",1,"SVC",0,0
"TAG102",1,"DSD",5,1.1
"TAG102",1,"rest",0,0
"TAG102",1,"SVC",0,0
"TAG103",1,"DSD",7,1.6
"TAG103",1,"rest",0,0
"TAG103",1,"SVC",0,0
"TAG104",1,"DSD",16,3.6
"TAG104",1,"rest",0,0
"TAG104",1,"SVC",27,7.5
"TAG105",1,"DSD",83,20.8
"TAG105",1,"rest",1,0.2
"TAG105",1,"SVC",23,6.4
"TAG106",1,"DSD",55,12.2
"TAG106",1,"rest",2,0.4
"TAG106",1,"SVC",18,5
"TAG107",1,"DSD",51,11.3
"TAG107",1,"rest",0,0
"TAG107",1,"SVC",2,0.6
"TAG109",1,"DSD",5,1.1
"TAG109",1,"rest",0,0
"TAG109",1,"SVC",10,2.8
"TAG110",1,"DSD",1,0.4
"TAG110",1,"rest",0,0
"TAG110",1,"SVC",0,0
"TAG111",1,"DSD",21,4.7
"TAG111",1,"rest",1,0.2
"TAG111",1,"SVC",1,0.3
"TAG112",1,"DSD",80,17.8
"TAG112",1,"rest",2,0.4
"TAG112",1,"SVC",44,12.2
"TAG113",1,"DSD",144,64
"TAG113",1,"rest",63,11.7
"TAG113",1,"SVC",127,35.3
"TAG114",1,"DSD",12,2.7
"TAG114",1,"rest",1,0.2
"TAG114",1,"SVC",20,5.8
"TAG116",1,"DSD",38,8.4
"TAG116",1,"rest",1,0.1
"TAG116",1,"SVC",3,0.8
"TAG119",1,"DSD",59,13.1
"TAG119",1,"rest",7,1.3
"TAG119",1,"SVC",23,6.4
"TAG120",1,"DSD",11,2.4
"TAG120",1,"rest",2,0.3
"TAG120",1,"SVC",5,1.4
"TAG122",1,"DSD",38,8.4
"TAG122",1,"rest",24,3
"TAG122",1,"SVC",32,8.9
"TAG124",1,"DSD",32,7.1
"TAG124",1,"rest",0,0
"TAG124",1,"SVC",20,5.6
"TAG125",1,"DSD",14,3.1
"TAG125",1,"rest",11,1.4
"TAG125",1,"SVC",16,4.4
"TAG127",1,"DSD",5,1.1
"TAG127",1,"rest",0,0
"TAG127",1,"SVC",7,1.9
"TAG130",1,"DSD",13,2.9
"TAG130",1,"rest",4,0.7
