"subjectID","wave","task","run","nVols","percent"
"TAG071",2,"rest",2,0,0
"TAG071",2,"SVC",1,0,0
"TAG071",2,"SVC",2,0,0
"TAG072",2,"DSD",1,5,2.2
"TAG072",2,"DSD",2,0,0
"TAG072",2,"rest",1,0,0
"TAG072",2,"rest",2,2,0.5
"TAG072",2,"SVC",1,0,0
"TAG072",2,"SVC",2,0,0
"TAG073",2,"DSD",1,15,6.7
"TAG073",2,"DSD",2,10,4.4
"TAG073",2,"rest",1,0,0
"TAG073",2,"rest",2,0,0
"TAG073",2,"SVC",1,0,0
"TAG073",2,"SVC",2,3,1.7
"TAG074",2,"DSD",1,2,0.9
"TAG074",2,"DSD",2,10,4.4
"TAG074",2,"rest",1,0,0
"TAG074",2,"rest",2,0,0
"TAG074",2,"SVC",1,0,0
"TAG074",2,"SVC",2,2,1.1
"TAG075",2,"DSD",1,0,0
"TAG075",2,"DSD",2,0,0
"TAG075",2,"rest",1,0,0
"TAG075",2,"rest",2,0,0
"TAG075",2,"SVC",1,0,0
"TAG075",2,"SVC",2,0,0
"TAG076",2,"DSD",1,3,1.3
"TAG076",2,"DSD",2,5,2.2
"TAG076",2,"rest",1,0,0
"TAG076",2,"rest",2,5,1.3
"TAG076",2,"SVC",1,0,0
"TAG076",2,"SVC",2,0,0
"TAG077",2,"DSD",1,33,14.7
"TAG077",2,"rest",1,4,1
"TAG077",2,"rest",2,0,0
"TAG077",2,"SVC",1,0,0
"TAG077",2,"SVC",2,3,1.7
"TAG078",2,"DSD",1,103,45.8
"TAG078",2,"rest",1,0,0
"TAG078",2,"rest",2,0,0
"TAG078",2,"SVC",1,1,0.6
"TAG078",2,"SVC",2,4,2.2
"TAG080",2,"DSD",1,0,0
"TAG080",2,"DSD",2,0,0
"TAG080",2,"rest",1,0,0
"TAG080",2,"rest",2,1,0.4
"TAG080",2,"SVC",1,5,2.8
"TAG080",2,"SVC",2,2,1.1
"TAG081",2,"DSD",1,7,3.1
"TAG081",2,"DSD",2,4,1.8
"TAG081",2,"rest",1,0,0
"TAG081",2,"rest",2,1,0.3
"TAG081",2,"SVC",1,2,1.1
"TAG081",2,"SVC",2,2,1.1
"TAG084",2,"DSD",1,5,2.2
"TAG084",2,"DSD",2,1,0.4
"TAG084",2,"rest",1,0,0
"TAG084",2,"rest",2,0,0
"TAG084",2,"SVC",1,2,1.1
"TAG084",2,"SVC",2,0,0
"TAG085",2,"DSD",1,0,0
"TAG085",2,"DSD",2,0,0
"TAG085",2,"rest",1,0,0
"TAG085",2,"rest",2,0,0
"TAG085",2,"SVC",1,0,0
"TAG085",2,"SVC",2,0,0
"TAG086",2,"DSD",1,29,12.9
"TAG086",2,"DSD",2,6,2.7
"TAG086",2,"rest",1,2,0.5
"TAG086",2,"rest",2,19,4.8
"TAG086",2,"SVC",1,4,2.2
"TAG086",2,"SVC",2,28,15.6
"TAG087",2,"rest",1,0,0
"TAG087",2,"rest",2,0,0
"TAG087",2,"SVC",1,0,0
"TAG087",2,"SVC",2,0,0
"TAG088",2,"DSD",1,3,1.3
"TAG088",2,"DSD",2,8,3.6
"TAG088",2,"rest",1,0,0
"TAG088",2,"rest",2,3,0.8
"TAG088",2,"SVC",1,0,0
"TAG088",2,"SVC",2,0,0
"TAG089",2,"rest",1,3,0.8
"TAG089",2,"rest",2,62,15.7
"TAG089",2,"SVC",1,15,8.3
"TAG089",2,"SVC",2,70,38.9
"TAG090",2,"DSD",1,3,1.3
"TAG090",2,"DSD",2,21,9.3
"TAG090",2,"rest",1,0,0
"TAG090",2,"rest",2,5,1.3
"TAG090",2,"SVC",1,5,2.8
"TAG090",2,"SVC",2,3,1.7
"TAG091",2,"DSD",1,0,0
"TAG091",2,"DSD",2,0,0
"TAG091",2,"rest",1,0,0
"TAG091",2,"rest",2,0,0
"TAG091",2,"SVC",1,0,0
"TAG091",2,"SVC",2,0,0
"TAG093",2,"DSD",1,15,6.7
"TAG093",2,"DSD",2,21,9.3
"TAG093",2,"rest",1,4,1
"TAG093",2,"rest",2,8,2
"TAG093",2,"SVC",1,14,7.8
"TAG093",2,"SVC",2,8,4.4
"TAG094",2,"DSD",1,0,0
"TAG094",2,"DSD",2,0,0
"TAG094",2,"rest",1,0,0
"TAG094",2,"rest",2,0,0
"TAG094",2,"SVC",1,0,0
"TAG094",2,"SVC",2,0,0
"TAG095",2,"DSD",1,2,0.9
"TAG095",2,"DSD",2,3,1.3
"TAG095",2,"rest",1,0,0
"TAG095",2,"rest",2,0,0
"TAG095",2,"SVC",1,0,0
"TAG095",2,"SVC",2,0,0
"TAG099",2,"DSD",1,13,5.8
"TAG099",2,"DSD",2,24,10.7
"TAG099",2,"rest",1,0,0
"TAG099",2,"rest",2,0,0
"TAG099",2,"SVC",1,6,3.3
"TAG099",2,"SVC",2,12,6.7
"TAG101",2,"DSD",1,3,1.3
"TAG101",2,"DSD",2,2,0.9
"TAG101",2,"rest",1,0,0
"TAG101",2,"rest",2,0,0
"TAG101",2,"SVC",1,0,0
"TAG101",2,"SVC",2,9,5
"TAG103",2,"DSD",1,0,0
"TAG103",2,"DSD",2,0,0
"TAG103",2,"rest",1,0,0
"TAG103",2,"rest",2,0,0
"TAG103",2,"SVC",1,0,0
"TAG103",2,"SVC",2,1,0.6
"TAG104",2,"DSD",1,0,0
"TAG104",2,"DSD",2,1,0.4
"TAG104",2,"rest",1,0,0
"TAG104",2,"rest",2,0,0
"TAG104",2,"SVC",1,0,0
"TAG104",2,"SVC",2,0,0
"TAG105",2,"DSD",1,18,8
"TAG105",2,"DSD",2,35,15.6
"TAG105",2,"rest",1,0,0
"TAG105",2,"rest",2,11,2.8
"TAG105",2,"SVC",1,5,2.8
"TAG105",2,"SVC",2,17,9.4
"TAG106",2,"rest",1,1,0.3
"TAG106",2,"rest",2,2,0.5
"TAG107",2,"DSD",1,10,4.4
"TAG107",2,"DSD",2,20,8.9
"TAG107",2,"rest",1,0,0
"TAG107",2,"rest",2,6,1.5
"TAG107",2,"SVC",1,17,9.4
"TAG107",2,"SVC",2,14,7.8
"TAG110",2,"DSD",1,2,0.9
"TAG110",2,"DSD",2,9,4
"TAG110",2,"rest",1,0,0
"TAG110",2,"rest",2,0,0
"TAG110",2,"SVC",1,0,0
"TAG110",2,"SVC",2,12,6.7
"TAG111",2,"DSD",1,0,0
"TAG111",2,"DSD",2,0,0
"TAG111",2,"rest",1,0,0
"TAG111",2,"rest",2,1,0.3
"TAG111",2,"SVC",1,0,0
"TAG111",2,"SVC",2,0,0
"TAG112",2,"DSD",1,0,0
"TAG112",2,"DSD",2,2,0.9
"TAG112",2,"rest",1,0,0
"TAG112",2,"rest",2,0,0
"TAG112",2,"SVC",1,0,0
"TAG112",2,"SVC",2,0,0
"TAG113",2,"DSD",1,123,54.7
"TAG113",2,"DSD",2,116,51.6
"TAG113",2,"rest",1,65,16.5
"TAG113",2,"SVC",1,108,60
"TAG113",2,"SVC",2,100,55.6
"TAG114",2,"DSD",1,5,2.2
"TAG114",2,"DSD",2,19,8.4
"TAG114",2,"rest",1,0,0
"TAG114",2,"rest",2,0,0
"TAG114",2,"SVC",1,0,0
"TAG114",2,"SVC",2,4,2.2
"TAG117",2,"DSD",1,14,6.2
"TAG117",2,"DSD",2,35,15.6
"TAG117",2,"rest",1,0,0
"TAG117",2,"rest",2,7,1.8
"TAG117",2,"SVC",1,2,1.1
"TAG117",2,"SVC",2,9,5
"TAG119",2,"DSD",1,2,0.9
"TAG119",2,"DSD",2,8,3.6
"TAG119",2,"rest",1,0,0
"TAG119",2,"rest",2,0,0
"TAG119",2,"SVC",1,5,2.8
"TAG119",2,"SVC",2,2,1.1
"TAG120",2,"DSD",1,4,1.8
"TAG120",2,"DSD",2,0,0
"TAG120",2,"rest",1,0,0
"TAG120",2,"rest",2,0,0
"TAG120",2,"SVC",1,0,0
"TAG120",2,"SVC",2,0,0
"TAG122",2,"DSD",1,7,3.1
"TAG122",2,"DSD",2,5,2.2
"TAG122",2,"rest",1,0,0
"TAG122",2,"rest",2,11,2.8
"TAG122",2,"SVC",1,3,1.7
"TAG122",2,"SVC",2,0,0
"TAG124",2,"DSD",1,12,5.3
"TAG124",2,"DSD",2,8,3.6
"TAG124",2,"rest",1,0,0
"TAG124",2,"rest",2,0,0
"TAG124",2,"SVC",1,0,0
"TAG124",2,"SVC",2,0,0
"TAG125",2,"DSD",1,8,3.6
