"","coi"
"242","lh.L_a24_ROI_lh.Parcel_7"
"243","lh.L_a24_ROI_lh.Parcel_78"
"244","lh.L_a24_ROI_lh.Parcel_9"
"245","lh.L_a24_ROI_lh.Parcel_96"
"246","lh.L_a24_ROI_rh.Parcel_167"
"247","lh.L_a24_ROI_rh.Parcel_168"
"248","lh.L_a24_ROI_rh.Parcel_170"
"249","lh.L_a24_ROI_rh.Parcel_182"
"250","lh.L_a24_ROI_rh.Parcel_240"
"251","lh.L_a24_ROI_rh.Parcel_260"
"252","lh.L_a24_ROI_rh.Parcel_261"
"253","lh.L_a24_ROI_rh.Parcel_272"
"254","lh.L_a24_ROI_rh.Parcel_273"
"255","lh.L_a24_ROI_rh.Parcel_276"
"256","lh.L_a24_ROI_rh.Parcel_277"
"257","lh.L_a24_ROI_rh.Parcel_319"
"258","lh.L_a24_ROI_rh.Parcel_320"
"259","lh.L_a24_ROI_rh.Parcel_327"
"260","lh.L_a24_ROI_rh.Parcel_328"
"261","lh.L_a24_ROI_rh.R_a24_ROI"
"262","lh.Parcel_108_rh.R_a24_ROI"
"263","lh.Parcel_109_rh.R_a24_ROI"
"264","lh.Parcel_148_rh.R_a24_ROI"
"265","lh.Parcel_149_rh.R_a24_ROI"
"266","lh.Parcel_24_rh.R_a24_ROI"
"267","lh.Parcel_7_rh.R_a24_ROI"
"268","lh.Parcel_78_rh.R_a24_ROI"
"269","lh.Parcel_9_rh.R_a24_ROI"
"270","lh.Parcel_96_rh.R_a24_ROI"
"271","rh.Parcel_167_rh.R_a24_ROI"
"272","rh.Parcel_168_rh.R_a24_ROI"
"273","rh.Parcel_170_rh.R_a24_ROI"
"274","rh.Parcel_182_rh.R_a24_ROI"
"275","rh.Parcel_240_rh.R_a24_ROI"
"276","rh.Parcel_260_rh.R_a24_ROI"
"277","rh.Parcel_261_rh.R_a24_ROI"
"278","rh.Parcel_272_rh.R_a24_ROI"
"279","rh.Parcel_273_rh.R_a24_ROI"
"280","rh.Parcel_276_rh.R_a24_ROI"
"281","rh.Parcel_277_rh.R_a24_ROI"
"282","rh.Parcel_319_rh.R_a24_ROI"
"283","rh.Parcel_320_rh.R_a24_ROI"
"284","rh.Parcel_327_rh.R_a24_ROI"
"285","rh.Parcel_328_rh.R_a24_ROI"
