"","coi"
"223","aseg_50_rh.Parcel_200"
"224","aseg_50_rh.Parcel_220"
"225","aseg_50_rh.Parcel_225"
"226","aseg_50_rh.Parcel_257"
"227","aseg_50_rh.Parcel_259"
"228","aseg_50_rh.Parcel_278"
"229","aseg_50_rh.Parcel_279"
"230","aseg_50_rh.Parcel_290"
"231","aseg_50_rh.Parcel_315"
"232","aseg_50_rh.Parcel_316"
"233","aseg_50_rh.Parcel_321"
"234","aseg_50_rh.Parcel_322"
"235","aseg_50_rh.Parcel_323"
"236","aseg_50_rh.Parcel_324"
"237","aseg_50_rh.Parcel_325"
"238","aseg_50_rh.Parcel_326"
"239","aseg_50_rh.Parcel_331"
"240","aseg_50_rh.R_a24_ROI"
"241","aseg_53_aseg_54"
"242","aseg_53_aseg_58"
"243","aseg_53_lh.L_a24_ROI"
"244","aseg_53_lh.Parcel_1"
"245","aseg_53_lh.Parcel_114"
"246","aseg_53_lh.Parcel_116"
"247","aseg_53_lh.Parcel_117"
"248","aseg_53_lh.Parcel_126"
"249","aseg_53_lh.Parcel_127"
"250","aseg_53_lh.Parcel_145"
"251","aseg_53_lh.Parcel_146"
"252","aseg_53_lh.Parcel_150"
"253","aseg_53_lh.Parcel_151"
"254","aseg_53_lh.Parcel_152"
"255","aseg_53_lh.Parcel_154"
"256","aseg_53_lh.Parcel_156"
"257","aseg_53_lh.Parcel_157"
"258","aseg_53_lh.Parcel_25"
"259","aseg_53_lh.Parcel_26"
"260","aseg_53_lh.Parcel_4"
"261","aseg_53_lh.Parcel_44"
"262","aseg_53_lh.Parcel_6"
"263","aseg_53_lh.Parcel_94"
"264","aseg_53_rh.Parcel_162"
"265","aseg_53_rh.Parcel_165"
"266","aseg_53_rh.Parcel_184"
"267","aseg_53_rh.Parcel_186"
"268","aseg_53_rh.Parcel_200"
"269","aseg_53_rh.Parcel_220"
"270","aseg_53_rh.Parcel_225"
"271","aseg_53_rh.Parcel_257"
"272","aseg_53_rh.Parcel_259"
"273","aseg_53_rh.Parcel_278"
"274","aseg_53_rh.Parcel_279"
"275","aseg_53_rh.Parcel_290"
"276","aseg_53_rh.Parcel_315"
"277","aseg_53_rh.Parcel_316"
"278","aseg_53_rh.Parcel_321"
"279","aseg_53_rh.Parcel_322"
"280","aseg_53_rh.Parcel_323"
"281","aseg_53_rh.Parcel_324"
"282","aseg_53_rh.Parcel_325"
"283","aseg_53_rh.Parcel_326"
"284","aseg_53_rh.Parcel_331"
"285","aseg_53_rh.R_a24_ROI"
"286","aseg_54_aseg_58"
"287","aseg_54_lh.L_a24_ROI"
"288","aseg_54_lh.Parcel_1"
"289","aseg_54_lh.Parcel_114"
"290","aseg_54_lh.Parcel_116"
"291","aseg_54_lh.Parcel_117"
"292","aseg_54_lh.Parcel_126"
"293","aseg_54_lh.Parcel_127"
"294","aseg_54_lh.Parcel_145"
"295","aseg_54_lh.Parcel_146"
"296","aseg_54_lh.Parcel_150"
"297","aseg_54_lh.Parcel_151"
"298","aseg_54_lh.Parcel_152"
"299","aseg_54_lh.Parcel_154"
"300","aseg_54_lh.Parcel_156"
"301","aseg_54_lh.Parcel_157"
"302","aseg_54_lh.Parcel_25"
"303","aseg_54_lh.Parcel_26"
"304","aseg_54_lh.Parcel_4"
"305","aseg_54_lh.Parcel_44"
"306","aseg_54_lh.Parcel_6"
"307","aseg_54_lh.Parcel_94"
"308","aseg_54_rh.Parcel_162"
"309","aseg_54_rh.Parcel_165"
"310","aseg_54_rh.Parcel_184"
"311","aseg_54_rh.Parcel_186"
"312","aseg_54_rh.Parcel_200"
"313","aseg_54_rh.Parcel_220"
"314","aseg_54_rh.Parcel_225"
"315","aseg_54_rh.Parcel_257"
"316","aseg_54_rh.Parcel_259"
"317","aseg_54_rh.Parcel_278"
"318","aseg_54_rh.Parcel_279"
"319","aseg_54_rh.Parcel_290"
"320","aseg_54_rh.Parcel_315"
"321","aseg_54_rh.Parcel_316"
"322","aseg_54_rh.Parcel_321"
"323","aseg_54_rh.Parcel_322"
"324","aseg_54_rh.Parcel_323"
"325","aseg_54_rh.Parcel_324"
"326","aseg_54_rh.Parcel_325"
"327","aseg_54_rh.Parcel_326"
"328","aseg_54_rh.Parcel_331"
"329","aseg_54_rh.R_a24_ROI"
"330","aseg_58_lh.L_a24_ROI"
"331","aseg_58_lh.Parcel_1"
"332","aseg_58_lh.Parcel_114"
"333","aseg_58_lh.Parcel_116"
"334","aseg_58_lh.Parcel_117"
"335","aseg_58_lh.Parcel_126"
"336","aseg_58_lh.Parcel_127"
"337","aseg_58_lh.Parcel_145"
"338","aseg_58_lh.Parcel_146"
"339","aseg_58_lh.Parcel_150"
"340","aseg_58_lh.Parcel_151"
"341","aseg_58_lh.Parcel_152"
"342","aseg_58_lh.Parcel_154"
"343","aseg_58_lh.Parcel_156"
"344","aseg_58_lh.Parcel_157"
"345","aseg_58_lh.Parcel_25"
"346","aseg_58_lh.Parcel_26"
"347","aseg_58_lh.Parcel_4"
