"","subs","hipp_SN_group","hipp_dmn_group","hipp_FPN_group","amy_SN_group","amy_dmn_group","amy_FPN_group"
"47","sub-TAG103",0.098683525286895,0.204034638867096,0.11753463984332,0.0631704304071026,0.109728978602279,0.0702969323130613
"48","sub-TAG104",0.0940804954545031,0.234117838423407,0.136965624185042,-0.0025441120942244,0.118354101347872,0.118262500505524
"49","sub-TAG105",0.299587200323318,0.263919887211927,0.154578708627133,0.0541839693700281,0.125503040350124,-0.00758455313190112
"50","sub-TAG111",0.0320945956779149,0.3041325763699,0.0421708044865049,-0.176675984170743,0.105737341578567,-0.04080892631699
"51","sub-TAG114",-0.018236653341469,0.301628553085895,0.00878569276188396,-0.142128697095287,0.0417165818490907,-0.0714888481993646
"52","sub-TAG119",0.249344805317435,0.357446180336699,0.19942361915663,0.0475301009272332,0.182864402830628,0.0460267330199951
"53","sub-TAG130",0.217741127412167,0.289311633777534,0.0972284663094747,0.0528856987598651,0.0321693020682644,-0.0218364747057929
"54","sub-TAG131",0.151235738880357,0.321620869097058,0.170729234407276,-0.0869207735402454,0.11039720466053,0.0148111657983184
"55","sub-TAG140",0.19874649786995,0.170909683000774,0.0358779455536967,-0.109422603869803,-0.131917555861431,-0.119900995950159
"56","sub-TAG141",0.24030758001363,0.335755335939518,0.262748927386453,0.12126607327153,0.128837111441094,0.0836045496760223
"57","sub-TAG144",0.0241064861078861,0.1149330379908,-0.0127693390160243,-0.210745503346008,-0.0512560435119914,-0.0522107718091462
"58","sub-TAG149",0.107975514328809,0.301870070772552,0.0997059882125248,0.0411188390411342,0.0394008588701397,0.0252386841674279
"59","sub-TAG159",0.188451145518504,0.202161152184261,0.126928043026394,-0.0943933734248674,0.0676970745678687,0.00341182747737337
"60","sub-TAG160",0.0375171222956182,0.317003294818345,0.145404740234624,-0.103323462927877,0.127457475051627,-0.0254560340495123
"61","sub-TAG167",0.228931233111732,0.242736432646144,0.0385978141628383,-0.14752364981164,0.00679864312382153,-0.0860819766364306
"62","sub-TAG169",0.204548435698168,0.373806411394718,0.283535252504521,-0.0216754694916884,0.181416005273595,0.138042697385101
"63","sub-TAG181",0.13670215213289,0.210561460531948,0.145541038436998,-0.0585905311924396,0.0325143398996962,0.00654934489018421
"64","sub-TAG209",0.0451689432067152,0.22116738020124,0.107974038899653,-0.109757398717476,0.152213003969617,0.00551763209312617
"65","sub-TAG002",0.113035695334843,0.197564293254238,0.0886290024049556,-0.0867927996132343,-0.0217118174089541,-0.058449632965616
