"subjectID","wave","task","run","nVols","percent"
"TAG112",1,"DSD",1,39,17.3
"TAG112",1,"DSD",2,45,20
"TAG112",1,"SVC",1,20,11.1
"TAG112",1,"SVC",2,25,13.9
"TAG113",1,"DSD",1,131,58.2
"TAG113",1,"SVC",1,56,31.1
"TAG113",1,"SVC",2,67,37.2
"TAG114",1,"DSD",1,4,1.8
"TAG114",1,"DSD",2,12,5.3
"TAG114",1,"SVC",1,6,3.3
"TAG114",1,"SVC",2,16,9.8
"TAG116",1,"DSD",1,18,8
"TAG116",1,"DSD",2,22,9.8
"TAG116",1,"SVC",1,1,0.6
"TAG116",1,"SVC",2,2,1.1
"TAG119",1,"DSD",1,23,10.2
"TAG119",1,"DSD",2,35,15.6
"TAG119",1,"SVC",1,17,9.4
"TAG119",1,"SVC",2,9,5
"TAG120",1,"DSD",1,5,2.2
"TAG120",1,"DSD",2,10,4.4
"TAG120",1,"SVC",1,2,1.1
"TAG120",1,"SVC",2,4,2.2
"TAG122",1,"DSD",1,12,5.3
"TAG122",1,"DSD",2,26,11.6
"TAG122",1,"SVC",1,14,7.8
"TAG122",1,"SVC",2,19,10.6
"TAG124",1,"DSD",1,21,9.3
"TAG124",1,"DSD",2,22,9.8
"TAG124",1,"SVC",1,5,2.8
"TAG124",1,"SVC",2,17,9.4
"TAG125",1,"DSD",1,7,3.1
"TAG125",1,"DSD",2,8,3.6
"TAG125",1,"SVC",1,4,2.2
"TAG125",1,"SVC",2,13,7.2
"TAG127",1,"DSD",1,0,0
"TAG127",1,"DSD",2,9,4
"TAG127",1,"SVC",1,2,1.1
"TAG127",1,"SVC",2,12,6.7
"TAG130",1,"DSD",1,6,2.7
"TAG130",1,"DSD",2,7,3.1
"TAG130",1,"SVC",1,1,0.6
"TAG130",1,"SVC",2,10,5.6
"TAG131",1,"DSD",1,44,19.6
"TAG131",1,"DSD",2,85,37.8
"TAG131",1,"SVC",1,10,5.6
"TAG131",1,"SVC",2,19,10.6
"TAG132",1,"DSD",1,0,0
"TAG132",1,"DSD",2,0,0
"TAG132",1,"SVC",1,3,1.7
"TAG132",1,"SVC",2,0,0
"TAG137",1,"DSD",1,53,23.6
"TAG137",1,"DSD",2,81,36
"TAG137",1,"SVC",1,12,6.7
"TAG137",1,"SVC",2,20,11.1
"TAG138",1,"DSD",1,61,27.1
"TAG138",1,"DSD",2,11,4.9
"TAG138",1,"SVC",1,4,2.2
"TAG138",1,"SVC",2,15,8.3
"TAG140",1,"DSD",1,7,3.1
"TAG140",1,"SVC",1,0,0
"TAG140",1,"SVC",2,0,0
"TAG141",1,"DSD",1,23,10.2
"TAG141",1,"DSD",2,32,14.2
"TAG141",1,"SVC",1,4,2.2
"TAG141",1,"SVC",2,4,2.2
"TAG143",1,"DSD",1,36,16
"TAG143",1,"DSD",2,65,28.9
"TAG143",1,"SVC",1,10,5.6
"TAG143",1,"SVC",2,11,6.1
"TAG144",1,"DSD",1,9,4
"TAG144",1,"DSD",2,9,4
"TAG144",1,"SVC",1,0,0
"TAG144",1,"SVC",2,2,1.1
"TAG145",1,"DSD",1,4,1.8
"TAG145",1,"DSD",2,3,1.3
"TAG145",1,"SVC",1,0,0
"TAG145",1,"SVC",2,2,1.1
"TAG147",1,"DSD",1,0,0
"TAG147",1,"DSD",2,5,2.2
"TAG147",1,"SVC",1,3,1.7
"TAG147",1,"SVC",2,3,1.7
"TAG149",1,"DSD",1,5,2.2
"TAG149",1,"DSD",2,10,4.4
"TAG149",1,"SVC",1,5,2.8
"TAG149",1,"SVC",2,11,6.1
"TAG152",1,"DSD",1,27,12
"TAG152",1,"DSD",2,17,7.6
"TAG152",1,"SVC",1,13,7.2
"TAG152",1,"SVC",2,1,0.6
"TAG155",1,"DSD",1,5,2.2
"TAG155",1,"DSD",2,0,0
"TAG155",1,"SVC",1,5,2.8
"TAG155",1,"SVC",2,6,3.3
"TAG159",1,"DSD",1,0,0
"TAG159",1,"DSD",2,3,1.3
"TAG159",1,"SVC",1,4,2.2
"TAG159",1,"SVC",2,2,1.1
"TAG160",1,"DSD",1,8,3.6
"TAG160",1,"DSD",2,12,5.3
"TAG160",1,"SVC",1,2,1.1
"TAG160",1,"SVC",2,7,3.9
"TAG164",1,"DSD",1,0,0
"TAG164",1,"DSD",2,5,2.2
"TAG164",1,"SVC",1,0,0
"TAG164",1,"SVC",2,1,0.6
"TAG165",1,"DSD",1,52,23.1
"TAG165",1,"DSD",2,49,21.8
"TAG165",1,"SVC",1,21,11.7
"TAG165",1,"SVC",2,10,5.6
"TAG166",1,"DSD",1,0,0
"TAG166",1,"DSD",2,2,0.9
"TAG166",1,"SVC",1,4,2.2
"TAG166",1,"SVC",2,4,2.2
"TAG167",1,"DSD",1,1,0.4
"TAG167",1,"DSD",2,13,5.8
"TAG167",1,"SVC",1,0,0
"TAG167",1,"SVC",2,0,0
"TAG169",1,"DSD",1,11,4.9
"TAG169",1,"DSD",2,15,6.7
"TAG169",1,"SVC",1,5,2.8
"TAG169",1,"SVC",2,3,1.7
"TAG173",1,"DSD",2,2,0.9
"TAG173",1,"SVC",1,2,1.1
"TAG173",1,"SVC",2,4,2.2
"TAG174",1,"DSD",1,28,12.4
"TAG174",1,"DSD",2,30,13.3
"TAG174",1,"SVC",1,4,2.2
"TAG174",1,"SVC",2,8,4.4
"TAG175",1,"DSD",1,26,11.6
"TAG175",1,"DSD",2,26,11.6
"TAG175",1,"SVC",1,0,0
"TAG175",1,"SVC",2,5,2.8
"TAG176",1,"DSD",1,29,12.9
"TAG176",1,"DSD",2,64,28.4
"TAG176",1,"SVC",1,6,3.3
"TAG176",1,"SVC",2,0,0
"TAG177",1,"SVC",1,2,18.2
"TAG179",1,"DSD",1,1,0.4
"TAG179",1,"DSD",2,3,1.3
"TAG179",1,"SVC",1,1,0.6
"TAG179",1,"SVC",2,0,0
"TAG180",1,"DSD",1,0,0
"TAG180",1,"DSD",2,1,0.4
"TAG180",1,"SVC",1,0,0
"TAG180",1,"SVC",2,0,0
"TAG181",1,"DSD",1,3,1.3
"TAG181",1,"DSD",2,11,4.9
"TAG181",1,"SVC",1,4,2.2
"TAG181",1,"SVC",2,2,1.1
"TAG186",1,"DSD",1,40,17.8
"TAG186",1,"DSD",2,50,22.2
"TAG186",1,"SVC",1,7,3.9
"TAG186",1,"SVC",2,35,19.4
"TAG188",1,"DSD",1,13,5.8
"TAG188",1,"SVC",1,20,11.1
"TAG188",1,"SVC",2,79,43.9
"TAG190",1,"DSD",1,87,38.7
"TAG190",1,"DSD",2,91,40.4
